question,worker,answer
988_1500_0,A3GVKARKY0E0U9,0
842_1987_0,A3GVKARKY0E0U9,0
906_1743_0,A3GVKARKY0E0U9,0
492_1956_0,A3GVKARKY0E0U9,0
485_1619_0,A3GVKARKY0E0U9,0
1002_2140_1,A3GVKARKY0E0U9,0
869_1620_0,A3GVKARKY0E0U9,0
594_1697_1,A3GVKARKY0E0U9,1
706_1659_0,A3GVKARKY0E0U9,0
79_1329_0,A3GVKARKY0E0U9,0
79_1527_0,A3GVKARKY0E0U9,0
346_2048_0,A3GVKARKY0E0U9,0
200_1146_0,A3GVKARKY0E0U9,0
706_1636_0,A3GVKARKY0E0U9,0
465_1660_0,A3GVKARKY0E0U9,0
942_1664_0,A3GVKARKY0E0U9,0
99_1275_1,A3AASN72M5LXRO,0
587_1127_0,A3AASN72M5LXRO,0
423_1237_0,A3AASN72M5LXRO,0
1001_1255_0,A3AASN72M5LXRO,0
749_1730_1,A3AASN72M5LXRO,1
986_1701_0,A3AASN72M5LXRO,1
1010_1410_0,A3AASN72M5LXRO,0
749_1648_0,A3AASN72M5LXRO,0
365_1418_0,A3AASN72M5LXRO,0
169_1410_0,A3AASN72M5LXRO,0
365_1340_0,A3AASN72M5LXRO,0
365_1648_0,A3AASN72M5LXRO,0
939_1665_0,A3AASN72M5LXRO,0
380_2120_1,A3AASN72M5LXRO,1
689_1667_0,A3AASN72M5LXRO,0
1010_1665_1,A3AASN72M5LXRO,1
1037_2137_1,A3AASN72M5LXRO,1
793_1984_1,ANKWF7RC5KIMN,1
695_1136_0,ANKWF7RC5KIMN,1
657_2145_0,ANKWF7RC5KIMN,1
695_1984_0,ANKWF7RC5KIMN,1
320_1936_0,ANKWF7RC5KIMN,1
320_1558_1,ANKWF7RC5KIMN,1
926_1544_0,ANKWF7RC5KIMN,0
466_1684_1,ANKWF7RC5KIMN,1
893_1891_0,ANKWF7RC5KIMN,1
863_1558_0,ANKWF7RC5KIMN,1
626_1842_0,ANKWF7RC5KIMN,1
628_1555_0,ANKWF7RC5KIMN,1
469_1684_0,ANKWF7RC5KIMN,1
562_1843_0,ANKWF7RC5KIMN,1
1067_1878_0,ANKWF7RC5KIMN,1
466_1686_0,ANKWF7RC5KIMN,1
812_1793_0,ANKWF7RC5KIMN,0
853_1907_0,A2AU1R4ZU1ZJ1A,0
853_1908_0,A2AU1R4ZU1ZJ1A,1
853_1897_0,A2AU1R4ZU1ZJ1A,0
853_1904_0,A2AU1R4ZU1ZJ1A,1
845_1898_0,A2AU1R4ZU1ZJ1A,1
840_1898_0,A2AU1R4ZU1ZJ1A,0
853_1909_1,A2AU1R4ZU1ZJ1A,0
846_1898_0,A2AU1R4ZU1ZJ1A,1
843_1898_0,A2AU1R4ZU1ZJ1A,1
847_1898_0,A2AU1R4ZU1ZJ1A,0
839_1898_0,A2AU1R4ZU1ZJ1A,1
849_1898_0,A2AU1R4ZU1ZJ1A,1
844_1898_0,A2AU1R4ZU1ZJ1A,1
851_1898_0,A2AU1R4ZU1ZJ1A,0
623_1898_0,A2AU1R4ZU1ZJ1A,1
795_1898_0,A2AU1R4ZU1ZJ1A,0
218_1112_0,A2U3GIFZQ60NZC,0
1052_1380_1,A2U3GIFZQ60NZC,0
415_1823_1,A2U3GIFZQ60NZC,0
13_1279_0,A2U3GIFZQ60NZC,0
158_1795_1,A2U3GIFZQ60NZC,0
997_2122_1,A2U3GIFZQ60NZC,0
160_1321_1,A2U3GIFZQ60NZC,0
529_1791_1,A2U3GIFZQ60NZC,1
739_1807_0,A2U3GIFZQ60NZC,0
314_1930_0,A2U3GIFZQ60NZC,1
36_1281_1,A2U3GIFZQ60NZC,1
993_2035_1,A2U3GIFZQ60NZC,0
945_2037_0,A2U3GIFZQ60NZC,0
996_2022_0,A2U3GIFZQ60NZC,0
258_1835_0,A2U3GIFZQ60NZC,0
423_1230_0,A2U3GIFZQ60NZC,0
438_1832_1,A2U3GIFZQ60NZC,1
658_1221_0,A3HB574VTU7ZFQ,0
281_1714_0,A3HB574VTU7ZFQ,0
765_1542_0,A3HB574VTU7ZFQ,0
33_1542_0,A3HB574VTU7ZFQ,0
281_1720_0,A3HB574VTU7ZFQ,0
329_1542_0,A3HB574VTU7ZFQ,0
428_1542_1,A3HB574VTU7ZFQ,1
257_1542_0,A3HB574VTU7ZFQ,0
281_1715_0,A3HB574VTU7ZFQ,0
281_1716_0,A3HB574VTU7ZFQ,0
251_1599_0,A3HB574VTU7ZFQ,0
536_1542_0,A3HB574VTU7ZFQ,0
191_1220_0,A3HB574VTU7ZFQ,1
