question,truth
80054009,2
79193796,1
80057950,3
81171416,3
79197068,0
80053613,1
81991018,2
81179473,2
79189126,3
79196316,0
80050144,1
81172077,2
81170576,3
80059451,0
79196176,3
81991717,1
80054166,1
81178003,1
80059175,3
79194933,0
81178007,2
79189357,0
80059190,0
80059203,2
79188733,2
80050881,3
79197023,3
80053599,1
79196972,0
80059118,0
80059119,3
80058771,1
80059045,0
79185673,0
80056218,2
81991227,0
79197853,3
81174535,2
81991756,3
81992407,0
79197691,1
79188429,1
79189697,0
81989954,1
81172069,3
80059915,3
81990318,1
81991330,2
81174165,3
79186665,1
80059221,3
81213374,3
79186749,2
79194922,3
81170184,3
81172701,3
79194093,2
81990794,0
79189341,3
81176286,2
80053174,2
80058211,3
80057477,4
80050271,4
80056767,2
80053583,3
79197563,1
79187315,3
81990952,1
81993695,1
81992349,1
81213627,2
79197417,2
80058294,3
79190116,3
80050108,3
81993696,3
79187143,3
81991152,3
80059131,3
79190118,2
81170861,0
79187199,3
80050917,3
79189773,2
81993136,0
81991664,0
80050679,4
81171771,3
80054061,1
80051904,3
81215474,0
81179800,2
80058872,2
80057405,3
80050625,0
81213046,2
81991738,0
79188512,0
81989508,0
80057656,3
81176672,2
79187357,1
80056520,2
81176574,1
81214896,2
81213961,3
80058228,1
80051992,1
79188846,1
80055852,3
81991486,0
80052151,2
81993620,3
79188848,3
80057006,2
79197871,3
81179349,1
81211518,2
79194811,1
79195022,3
81992074,1
81993643,1
81991860,3
80059939,0
80053403,1
81215467,3
79186726,2
81177151,3
81178513,0
81212076,1
81213766,1
81213820,2
80052729,3
80051053,2
80059665,2
81215580,3
79194106,3
79195594,2
79194550,1
79189295,3
79194346,2
81990635,3
80051197,3
81178980,2
81213874,3
81992855,2
79187165,2
80053247,3
80059242,0
80059338,1
81169928,2
80058749,1
79194028,1
80056789,2
81993022,0
80056141,1
81989909,3
81212944,3
81991877,2
80057340,3
81990225,3
80050064,1
79197151,0
81213147,2
80059362,2
79193917,1
80058226,3
81171616,0
81215052,1
80055712,2
81176650,1
80059799,1
80058229,3
81991269,3
80058539,2
80056390,0
80050754,0
81213907,3
81177780,0
81213904,1
79197229,3
81992795,3
81176923,2
81991459,4
81173394,3
80059324,1
80058841,1
81991158,0
81177836,1
81177838,3
80052652,3
81177034,1
81993145,1
79188466,0
81211801,4
81215835,3
81212019,1
81170369,3
81991119,1
80058437,1
80051488,3
81214894,2
80056720,0
80057115,3
81169563,0
81176951,1
80053749,2
81214513,3
81993807,2
81991465,1
81170146,0
80057335,1
80051237,1
79185724,1
80050645,1
80060015,2
79196060,2
79196748,2
79197928,2
79193752,2
81993382,3
80055921,0
79194075,3
80058399,3
79186190,2
81215682,3
81992417,0
81214228,4
81172348,0
81174487,4
79194489,3
81990447,1
81178821,2
81170419,2
79189145,2
81988861,0
79186651,0
81172057,1
81990363,3
81171736,0
79188293,3
81213652,1
81172598,2
81170491,1
80053045,3
80058809,3
80052807,3
79193972,4
79195142,2
81176534,1
79188556,3
79195148,3
81171831,3
81169556,3
80057291,2
79197834,1
79196441,2
81172424,3
79194027,2
79195829,0
79188095,1
81992011,1
80056235,2
81170244,0
81177955,1
81990891,0
81990474,4
80050966,3
80056866,3
81176223,0
80056863,1
79197503,2
80052225,2
81990273,1
81991310,0
81174459,1
81992487,0
80058003,2
80053682,0
79185900,1
81176894,3
81991168,0
81176506,0
81992249,0
81176504,1
81178016,0
81177456,0
80057334,3
79196168,2
79186569,2
81213726,1
81173459,3
80056578,0
81990560,2
80058172,2
81215562,2
80059079,2
79188084,3
79197903,0
