question,truth
107_1108_0,0
953_1938_1,1
329_2157_0,0
411_1794_0,0
965_1633_0,0
45_1276_1,1
177_1389_0,0
575_1875_0,0
290_1260_0,0
453_1698_0,0
891_1183_0,0
1023_1355_0,0
983_2149_0,0
275_1481_1,1
448_1493_0,0
886_1711_0,0
848_2053_0,0
738_1921_0,0
847_1906_0,0
630_1954_0,0
723_1882_0,0
110_1168_0,0
535_1722_0,0
735_1858_1,1
915_2092_0,0
547_2031_0,0
481_1712_0,0
807_1552_0,0
918_2090_0,0
402_1466_0,0
747_1829_0,0
478_1736_0,0
866_1709_0,0
884_1818_0,0
409_1840_0,0
631_1555_0,0
254_1528_0,0
577_2082_0,0
645_1384_0,0
963_1169_0,0
548_1961_0,0
300_1398_0,0
1026_1092_0,0
209_1146_0,0
484_2074_0,0
632_2146_0,0
111_1171_0,0
178_1291_0,0
202_1265_0,0
765_1666_0,0
657_2145_0,0
32_1277_0,0
235_1577_1,1
564_1845_0,0
546_1843_0,0
623_1899_0,0
485_1481_0,0
324_1421_1,1
111_1179_0,0
168_1241_1,1
317_1878_1,1
618_1762_0,0
620_1968_0,0
497_1639_0,0
277_2130_0,0
670_1873_0,0
905_2094_0,0
501_1765_0,0
615_1717_0,0
579_2143_0,0
984_2035_0,0
948_1736_0,0
252_1528_0,0
781_1521_0,0
914_2084_1,1
178_1621_0,0
908_2029_1,1
890_2061_0,0
1044_2170_1,1
171_1141_0,0
969_1441_1,1
665_1597_0,0
560_1644_0,0
205_1348_0,0
154_1528_0,0
569_1749_0,0
903_2075_0,0
1053_1937_0,0
1062_1105_0,0
570_1757_0,0
998_1818_0,0
182_1666_0,0
416_1319_0,0
804_1777_0,0
1040_1314_0,0
845_1901_0,0
674_1869_0,0
1048_1240_0,0
173_1440_0,0
575_1956_0,0
304_1580_1,1
702_1947_1,1
988_1687_0,0
485_2018_0,0
487_1593_0,0
644_1715_0,0
1034_2003_1,1
597_1688_0,0
401_2157_0,0
942_1664_0,0
487_1814_0,0
790_1384_0,0
626_1816_0,0
372_1601_0,0
903_1481_0,0
964_1165_0,0
644_1384_0,0
198_1325_1,1
975_2058_0,0
281_1716_0,0
666_1806_0,0
401_1717_0,0
254_1709_0,0
267_1422_1,1
748_1711_0,0
389_1506_0,0
485_1809_0,0
480_1496_0,0
986_1688_0,0
571_1796_0,0
446_1875_0,0
1038_2152_0,0
388_1400_0,0
524_2023_0,0
810_1616_1,1
935_2111_1,1
401_1718_0,0
688_1541_0,0
177_1128_0,0
290_1190_0,0
269_1422_0,0
615_1716_0,0
965_1353_0,0
482_2042_0,0
397_1581_1,1
1038_1841_0,0
227_1697_0,0
576_1527_0,0
521_1481_0,0
355_1324_0,0
116_1651_0,0
803_1628_0,0
42_1881_0,0
95_1165_0,0
480_2018_0,0
1048_1153_0,0
975_2057_0,0
1063_2088_0,0
799_1209_0,0
174_1416_1,1
979_1244_0,0
483_1689_0,0
155_1145_0,0
719_1429_0,0
480_1664_0,0
808_1618_0,0
941_1618_0,0
785_1633_0,0
199_1171_1,1
531_2064_0,0
950_1926_0,0
974_1760_0,0
335_1860_0,0
500_1639_0,0
451_2060_0,0
698_1856_0,0
428_1722_0,0
26_1103_1,1
365_1665_0,0
725_1819_1,1
567_1762_0,0
862_1939_0,0
1021_1562_0,0
626_1824_0,0
463_1083_0,0
28_1122_0,0
858_1257_0,0
252_1667_0,0
648_2116_1,1
329_1542_0,0
1016_2074_0,0
1061_1926_0,0
459_1636_0,0
855_1568_0,0
185_1249_0,0
671_1908_0,0
1048_1770_0,0
444_1658_0,0
776_1840_0,0
867_1666_0,0
513_1819_0,0
490_1711_0,0
683_1916_0,0
826_1818_0,0
907_1656_0,0
776_1968_0,0
924_2089_0,0
114_1315_1,1
874_1755_0,0
169_1418_0,0
907_1619_0,0
249_1534_0,0
328_1927_0,0
283_1441_0,0
44_1260_1,1
1001_1730_0,0
618_2070_0,0
687_1968_0,0
576_1329_0,0
809_1318_0,0
741_2065_0,0
719_1426_0,0
33_1222_0,0
576_1658_0,0
837_2033_0,0
369_1200_0,0
1019_1521_0,0
188_1397_1,1
186_1400_1,1
463_1566_0,0
935_2059_0,0
555_1188_0,0
961_1179_0,0
144_1327_1,1
796_1898_0,0
776_1738_0,0
449_1962_0,0
10_1229_0,0
772_1843_0,0
556_1156_0,0
848_2081_1,1
477_1873_0,0
511_1672_0,0
859_1960_0,0
482_1497_0,0
895_1672_0,0
716_1842_0,0
942_2099_0,0
939_1648_1,1
487_2042_0,0
214_1401_0,0
16_1220_0,0
504_1639_1,1
961_1170_0,0
175_1361_0,0
318_1388_1,1
510_1674_0,0
632_1946_1,1
861_2169_0,0
434_2046_0,0
478_1875_0,0
159_1654_0,0
623_1900_0,0
1061_1993_0,0
523_1620_0,0
504_1925_0,0
949_2018_0,0
556_1529_0,0
889_1661_0,0
477_1874_0,0
43_1880_0,0
368_1319_0,0
808_2073_0,0
477_2074_0,0
360_1154_0,0
987_1757_0,0
140_2001_1,1
966_1240_0,0
1077_1764_0,0
906_1664_0,0
478_1541_0,0
487_1687_0,0
939_1255_0,0
996_2023_0,0
765_1382_0,0
474_1650_0,0
270_1431_1,1
890_1636_0,0
620_1799_0,0
191_1716_0,0
487_2008_0,0
673_1990_0,0
781_1254_0,0
521_2020_0,0
168_1153_0,0
597_1610_0,0
764_1454_0,0
483_1666_0,0
487_1688_0,0
1032_1532_1,1
689_1699_0,0
629_1206_0,0
382_1547_1,1
883_1593_0,0
556_1494_0,0
497_1640_0,0
109_1205_1,1
257_1714_0,0
701_2152_0,0
488_1620_0,0
778_1965_1,1
658_1382_0,0
861_1940_0,0
511_1632_0,0
593_1772_0,0
97_1180_0,0
646_1804_1,1
425_1944_0,0
254_1655_0,0
994_1737_0,0
895_1630_0,0
563_1846_1,1
440_2061_0,0
204_1357_0,0
1039_1968_0,0
657_1812_0,0
577_1625_0,0
247_1581_0,0
531_1845_0,0
354_1518_0,0
1024_1163_0,0
742_1972_0,0
274_1170_0,0
949_1500_0,0
734_1840_0,0
654_1966_0,0
11_1222_0,0
502_1960_0,0
869_1814_0,0
859_1638_0,0
267_1260_0,0
532_1433_0,0
534_1722_0,0
67_1536_0,0
488_1926_0,0
794_2045_0,0
753_1980_0,0
534_1222_0,0
668_1179_0,0
863_1936_1,1
591_2146_0,0
928_1490_0,0
401_1222_0,0
512_2006_0,0
369_1547_0,0
561_2125_0,0
128_1110_0,0
150_1396_0,0
275_1214_0,0
966_1128_0,0
1024_1197_0,0
797_1341_0,0
995_1618_0,0
193_1345_0,0
720_1422_0,0
58_1584_0,0
582_1779_0,0
482_1926_0,0
681_1922_1,1
848_2070_0,0
644_1708_0,0
809_1146_0,0
454_1662_0,0
799_1665_0,0
496_1593_0,0
610_1762_0,0
470_1662_0,0
182_1618_0,0
530_1274_0,0
973_1178_0,0
54_1989_0,0
833_1698_0,0
522_1620_0,0
1008_1999_0,0
