question,worker,answer
297,9,2
684,9,0
733,9,0
770,31,3
149,55,2
75,52,3
594,16,1
689,16,3
562,1,0
748,20,0
69,85,1
80,9,1
353,69,3
684,3,1
126,55,2
802,25,0
624,40,1
455,20,2
183,1,3
715,5,3
486,60,2
15,42,3
642,16,0
638,73,2
274,20,2
496,2,1
652,9,0
472,9,1
323,3,2
465,34,3
325,61,2
456,54,2
3,18,1
27,56,2
41,30,2
52,39,2
779,13,0
18,40,1
235,2,3
59,51,1
490,21,3
470,17,3
672,56,0
26,47,3
92,5,1
291,34,3
752,9,2
771,73,2
397,9,3
621,41,0
82,35,3
385,78,3
353,40,3
183,75,3
377,20,3
739,9,2
406,70,0
499,11,3
392,24,0
475,23,0
644,56,1
474,47,1
66,2,3
386,24,3
222,1,2
178,94,3
325,55,2
464,13,2
608,31,1
163,15,2
481,7,1
302,34,0
774,21,1
650,35,2
482,43,3
404,56,3
561,20,1
89,34,0
174,22,3
58,37,2
423,56,0
652,57,0
151,36,3
642,34,1
34,14,0
570,9,2
82,69,2
371,20,0
213,1,1
434,25,0
368,13,1
631,22,2
198,43,2
571,69,2
708,34,3
749,31,3
28,40,2
51,2,2
194,76,0
599,61,1
226,31,3
687,5,3
226,50,2
318,55,1
645,20,3
474,9,1
435,62,0
177,5,0
629,16,2
680,19,3
602,13,2
70,10,2
205,9,0
516,21,0
25,66,3
65,39,3
57,45,2
686,35,0
549,22,2
26,20,3
87,69,1
619,20,1
52,40,2
438,47,3
511,102,0
517,16,2
347,50,1
624,57,1
442,26,2
473,43,1
481,13,1
504,5,0
269,22,0
692,34,0
540,56,2
164,89,3
603,35,2
705,30,2
381,20,2
189,16,0
569,22,2
28,27,2
413,21,2
301,56,3
590,3,1
653,61,2
366,34,3
765,3,2
71,51,2
140,41,0
34,31,1
404,74,3
788,31,2
82,22,2
147,76,3
742,40,3
735,37,2
662,28,3
179,54,2
481,50,1
370,35,3
727,20,3
595,32,3
274,13,2
372,37,2
3,12,1
270,16,2
230,60,1
668,3,2
411,66,1
115,1,2
439,33,0
737,109,0
729,42,1
48,14,3
583,55,3
40,23,2
536,20,1
294,15,2
17,40,3
119,37,0
182,6,3
88,9,1
237,20,0
288,29,1
751,58,1
36,70,3
366,35,3
218,2,2
647,6,0
54,34,0
465,16,3
165,16,0
434,52,0
487,3,2
750,62,0
473,13,1
257,31,0
445,25,0
537,30,2
201,43,3
778,54,0
553,99,2
478,28,3
210,66,3
287,11,0
723,11,0
787,61,1
671,27,2
381,3,1
724,3,2
403,16,0
225,5,0
697,14,2
210,2,3
257,60,0
534,9,0
540,46,2
778,35,0
762,29,2
450,35,3
405,7,0
508,25,3
489,41,2
450,41,3
605,3,2
780,61,2
553,54,2
639,21,3
444,66,1
67,36,2
434,47,1
270,11,2
198,37,2
754,29,1
337,8,3
104,25,2
687,31,2
183,55,3
479,22,3
65,3,3
326,13,3
671,43,2
11,35,0
578,15,3
405,40,2
256,31,0
200,52,3
649,20,3
168,44,0
470,12,3
372,8,2
34,13,1
562,21,1
452,28,2
177,37,0
274,23,2
295,56,1
778,34,0
597,13,2
481,40,1
629,58,2
468,39,2
189,6,0
627,12,3
281,20,1
791,31,2
223,31,2
573,43,2
15,34,3
758,9,3
221,47,3
620,12,1
803,28,3
498,22,2
321,14,0
597,63,2
29,47,3
340,37,0
605,15,2
553,28,2
9,34,0
607,41,1
153,40,2
533,13,3
719,28,0
769,28,3
381,82,3
182,17,3
69,5,1
343,16,1
443,13,0
772,27,1
631,13,2
676,34,2
286,55,2
439,13,1
528,12,3
654,31,0
94,51,3
598,8,2
604,13,3
37,58,2
733,31,0
802,39,0
237,43,0
471,22,0
464,36,2
687,40,3
326,35,3
358,21,3
77,63,3
370,23,3
611,43,3
767,28,0
143,56,0
617,19,3
137,10,3
659,16,3
213,31,0
494,44,3
147,37,2
282,13,1
185,12,3
429,10,2
698,6,1
740,42,1
706,16,0
728,47,0
484,19,0
33,9,0
730,14,0
215,18,1
496,16,0
185,55,3
695,12,2
173,35,1
799,11,2
560,35,1
187,14,3
316,22,1
55,43,3
772,25,1
612,21,0
333,63,1
504,31,1
83,2,1
772,3,0
518,9,2
272,39,0
657,53,3
200,43,3
234,3,1
541,40,2
473,36,1
124,35,2
93,47,3
670,10,2
805,88,2
390,25,2
661,73,0
783,9,3
771,30,2
159,42,1
781,45,1
152,25,0
372,3,3
64,83,2
792,20,3
762,25,3
624,37,1
794,30,3
520,21,0
754,61,0
501,27,0
139,15,2
167,25,0
279,53,1
302,13,0
684,43,0
365,1,1
81,85,0
758,61,3
784,28,3
154,34,0
554,34,2
516,12,2
151,3,2
58,36,3
379,21,3
535,6,3
573,15,3
580,3,3
720,13,1
433,28,1
604,28,3
137,27,3
254,71,3
236,21,0
636,43,3
304,29,1
523,2,1
228,37,2
590,56,0
790,66,0
447,43,2
171,61,2
357,52,0
721,47,2
388,6,1
678,20,2
680,31,3
210,13,3
373,25,2
608,6,1
610,13,1
453,43,3
681,14,0
356,13,1
771,61,2
503,97,3
112,17,0
181,23,2
774,28,0
297,2,2
396,12,0
9,49,0
795,36,1
349,51,1
59,50,1
173,73,1
608,63,1
44,35,2
39,22,3
122,43,2
550,9,2
130,42,0
615,42,1
602,10,2
591,53,1
284,25,0
564,76,3
231,16,0
28,3,2
245,39,3
481,55,1
72,4,3
65,55,3
731,16,3
655,11,0
531,29,2
134,16,3
62,7,0
805,25,2
237,41,0
437,20,2
724,20,2
222,20,2
413,50,3
399,61,0
307,36,0
603,58,2
396,73,0
182,72,0
634,43,0
366,41,2
299,47,0
54,43,0
322,20,2
422,56,3
640,5,1
371,39,0
782,58,2
282,37,1
432,2,3
342,12,3
356,51,1
493,3,1
568,43,3
369,23,2
280,50,3
7,9,1
348,20,2
609,58,1
404,20,3
678,22,2
367,31,1
537,20,3
670,3,1
204,31,0
692,42,1
779,66,1
468,42,3
691,20,3
146,3,1
784,5,3
662,25,2
14,44,0
683,69,2
511,3,2
32,27,1
346,45,2
640,58,0
766,34,0
517,17,3
790,22,0
254,45,3
290,1,1
431,65,2
263,1,1
419,69,3
90,90,0
267,10,3
344,62,2
521,59,0
122,75,0
249,17,0
585,15,2
440,65,0
675,22,3
42,58,1
691,5,3
522,12,3
430,29,2
86,73,0
503,35,3
76,17,3
174,6,3
6,20,2
752,31,0
32,25,1
607,25,1
173,19,1
179,48,2
49,16,2
40,13,2
113,52,3
638,31,3
23,3,1
95,2,1
493,47,1
350,25,0
508,95,3
333,41,0
690,22,3
768,9,3
704,54,3
492,13,2
455,22,2
80,2,1
659,34,3
111,27,3
625,43,2
110,61,2
419,43,3
271,41,2
391,61,2
179,34,2
117,49,2
558,25,3
507,54,2
712,66,3
482,39,3
49,2,3
334,2,3
45,20,1
694,42,3
150,34,3
642,35,0
718,12,2
305,54,1
678,43,3
720,31,0
200,31,3
168,61,0
505,20,1
703,21,1
448,17,2
799,9,2
312,3,2
68,19,0
130,55,1
277,31,3
512,5,0
231,4,0
6,25,2
773,72,3
685,60,1
667,31,0
394,49,3
250,73,3
47,9,1
670,22,2
239,44,0
83,13,1
718,1,2
563,61,0
425,3,2
223,29,2
56,9,1
506,43,1
12,43,0
706,9,2
702,14,2
178,12,3
536,14,0
105,29,1
169,21,1
313,40,2
80,58,1
268,23,2
247,20,2
695,3,2
43,48,3
403,1,1
291,39,3
289,1,2
190,55,2
122,22,2
483,43,3
368,3,0
770,21,3
55,12,3
767,34,1
628,20,0
363,10,3
614,13,2
596,23,0
547,13,3
236,63,0
281,17,0
798,21,0
726,42,3
73,35,0
70,20,2
12,26,1
591,11,1
105,22,1
577,56,2
415,35,2
418,23,3
143,50,0
150,19,3
403,13,0
289,12,2
12,4,1
729,58,1
584,41,2
134,58,2
293,4,2
476,42,0
110,9,2
98,79,2
94,45,2
251,40,0
426,13,0
124,9,3
640,31,0
278,20,3
799,51,3
208,34,1
320,41,3
295,28,1
67,62,2
662,39,2
89,13,0
14,6,1
25,9,2
96,83,3
458,40,0
265,35,3
618,60,1
55,3,2
455,47,2
648,12,3
487,25,3
790,43,0
254,10,3
619,43,1
520,43,0
393,16,0
255,5,2
81,1,1
169,20,1
52,56,2
561,8,0
126,16,2
514,71,2
616,20,0
761,9,3
605,29,2
580,1,2
235,95,3
468,23,3
564,58,2
800,23,3
711,50,1
625,34,2
361,9,2
607,17,1
728,54,0
540,12,3
624,31,1
417,31,1
394,17,3
131,58,0
105,31,1
558,54,3
668,13,3
553,2,3
431,56,2
434,34,0
632,9,3
11,3,1
687,94,3
120,28,0
613,22,0
515,9,1
30,22,0
285,25,0
736,13,2
427,15,3
78,29,2
39,20,2
439,10,0
450,25,2
594,22,0
699,13,1
498,27,2
509,35,3
296,42,1
606,54,1
793,5,3
190,9,2
504,34,0
634,23,0
215,12,0
257,5,1
341,11,3
582,16,1
332,9,2
2,16,2
112,41,1
531,27,3
5,16,3
164,30,2
208,44,0
533,16,3
465,41,3
595,21,0
99,21,0
199,35,3
763,27,1
366,1,3
155,1,3
173,43,1
263,16,0
111,15,3
136,63,1
111,41,2
189,41,0
448,50,2
575,35,3
721,62,2
530,16,3
268,21,2
665,13,1
642,58,1
452,9,2
768,43,2
482,1,3
37,35,3
573,5,3
28,29,1
258,51,3
587,9,1
54,35,0
146,37,1
561,35,0
387,27,1
693,12,0
484,28,3
745,84,3
544,13,0
693,58,1
501,56,0
398,51,1
16,62,0
227,61,2
441,47,3
233,37,0
431,27,3
428,27,0
654,41,1
147,2,3
581,19,2
292,52,2
161,42,2
801,25,2
241,29,0
68,27,0
731,54,3
409,47,0
572,31,1
690,25,3
355,53,3
676,40,2
13,2,3
615,47,0
388,41,1
467,20,2
789,35,3
86,16,0
396,34,0
555,22,2
434,11,0
162,85,0
127,40,3
747,88,1
753,9,0
349,5,0
673,27,1
618,15,1
346,11,2
641,10,3
299,9,0
671,8,2
138,55,2
531,45,3
17,45,3
688,28,0
646,13,3
550,61,2
38,17,3
616,66,0
492,22,2
178,16,3
305,12,1
742,42,3
188,41,0
790,9,0
209,43,2
1,5,3
103,16,0
368,47,1
478,34,3
474,35,0
355,29,2
353,31,3
475,13,1
109,2,1
269,36,0
120,31,0
605,42,3
653,11,2
586,58,1
63,55,1
412,23,3
456,1,2
338,20,1
685,42,1
572,56,0
414,28,2
317,34,3
219,44,0
553,5,2
162,27,0
249,14,1
304,90,1
124,1,2
60,39,3
631,27,2
129,23,2
543,16,0
497,21,2
360,31,0
150,49,3
186,58,2
627,2,3
487,43,3
609,47,0
425,31,2
342,30,2
498,40,2
511,28,0
511,14,1
154,20,0
351,13,3
179,9,3
638,26,2
344,3,3
374,41,1
422,43,3
270,85,2
738,31,3
442,82,3
749,16,3
306,56,0
165,31,1
739,58,2
162,1,0
339,37,2
139,16,3
7,21,1
580,12,3
544,9,0
510,41,3
323,27,2
356,42,1
217,37,1
81,67,0
710,3,3
468,10,3
476,29,1
283,17,1
115,53,2
410,34,0
43,31,3
35,20,2
708,3,3
354,1,0
37,16,3
386,9,3
768,59,2
791,59,2
19,9,0
151,25,3
627,35,2
245,47,3
755,9,3
537,66,2
592,15,2
588,28,0
479,32,3
585,40,3
517,20,3
786,16,0
290,22,0
585,5,3
533,10,3
725,12,2
577,9,2
24,53,1
367,40,1
621,50,0
673,9,1
239,3,1
209,36,2
238,90,2
128,13,3
78,30,2
113,3,3
409,10,0
175,40,1
507,14,2
104,42,3
194,56,1
635,16,3
219,21,1
771,88,2
70,58,2
75,40,3
719,29,1
455,15,2
400,6,2
684,8,0
476,12,0
104,14,2
682,15,1
756,30,0
288,9,1
586,35,0
235,26,2
108,13,3
207,23,1
