question,truth
344,2
345,1
346,2
347,1
340,1
341,3
342,3
343,1
348,2
349,1
595,3
719,0
718,2
717,3
716,1
715,3
714,1
713,3
712,3
711,1
710,3
606,1
594,0
736,2
619,1
298,0
299,0
296,0
297,2
294,2
295,0
292,2
293,3
290,1
291,3
591,1
590,0
593,1
592,2
199,3
198,2
597,2
596,1
195,3
194,0
197,3
196,3
191,1
190,3
193,3
192,3
270,3
271,3
272,3
273,3
274,2
275,1
276,2
277,2
278,2
279,1
738,3
524,3
525,1
526,0
527,3
520,0
521,0
522,2
523,0
599,0
528,3
529,2
449,3
448,2
443,0
442,3
441,3
440,0
447,0
446,3
445,0
444,1
108,0
109,1
102,1
103,1
100,0
101,2
106,3
107,3
104,2
105,1
39,3
38,2
33,0
32,1
31,2
30,1
37,3
36,3
35,3
34,0
641,2
640,0
643,1
642,0
645,2
644,1
438,3
439,1
436,3
437,3
434,1
435,0
432,2
433,0
430,2
431,3
339,2
338,0
335,0
334,3
337,3
336,2
331,3
330,0
333,0
332,2
744,2
745,3
748,0
6,2
99,0
98,2
91,1
90,1
93,2
92,0
95,1
94,3
97,1
96,2
740,1
741,0
742,2
743,3
559,1
558,3
746,3
747,1
555,2
554,2
557,3
556,2
551,0
550,2
553,2
552,0
238,2
239,1
234,1
235,2
236,0
237,1
230,1
231,1
232,3
233,1
1,3
614,2
146,1
147,3
144,1
145,0
142,2
143,0
140,0
141,3
612,0
613,0
610,1
611,3
616,0
617,2
148,2
149,3
768,2
689,3
688,3
685,1
684,0
687,3
686,0
681,0
680,3
683,2
682,1
623,0
622,2
133,1
132,1
131,0
130,1
137,3
136,1
135,2
134,3
494,3
495,2
139,3
138,2
490,2
491,3
492,2
493,1
24,1
25,2
26,3
27,3
20,1
21,2
22,3
23,0
28,2
29,3
407,1
406,1
405,2
404,3
403,1
402,1
401,3
400,2
629,2
409,1
408,1
628,0
758,3
379,2
378,2
371,0
370,3
373,2
372,3
375,2
374,1
377,2
376,0
708,3
709,1
704,3
705,2
706,0
707,2
700,2
618,1
702,3
703,0
393,0
392,1
88,1
89,0
397,2
396,0
395,1
394,3
82,2
83,0
80,1
81,1
86,0
87,1
84,0
85,1
797,3
796,3
795,1
794,3
793,2
792,3
791,3
790,0
799,2
798,0
7,0
601,1
607,0
586,0
587,1
584,3
585,2
582,1
583,3
580,3
581,2
588,1
589,1
245,3
244,1
247,2
246,3
241,0
240,2
243,1
242,2
615,0
249,1
248,2
519,2
518,2
511,0
510,3
513,0
512,0
515,1
514,2
517,3
516,3
458,0
459,2
621,0
620,0
627,2
626,3
625,2
624,1
450,3
451,3
452,2
453,3
454,2
455,3
456,2
457,3
179,2
178,3
177,0
176,1
175,1
174,3
173,1
172,2
171,2
170,1
656,3
657,3
654,1
253,2
182,3
183,3
180,3
181,3
186,2
187,3
184,3
185,3
652,0
188,0
189,0
658,3
653,3
650,2
651,3
764,2
11,0
10,0
13,3
12,1
15,3
14,1
17,3
16,0
19,1
18,1
659,3
753,0
752,0
62,0
756,0
322,3
323,2
320,3
321,0
326,2
327,0
324,3
325,2
328,3
329,3
759,1
201,2
200,3
203,2
202,2
205,0
204,1
207,1
206,3
209,2
208,1
779,1
778,1
77,3
76,3
75,3
74,1
73,1
72,3
71,2
70,2
655,0
79,2
78,3
2,2
805,2
804,2
669,2
668,3
667,0
666,0
665,1
664,2
663,1
662,2
661,1
660,2
769,3
692,0
693,0
690,3
691,3
696,0
697,2
694,3
695,3
698,0
699,0
542,2
543,0
540,3
541,2
546,2
547,3
544,0
545,1
8,0
548,2
549,2
68,0
598,2
120,0
121,0
122,2
123,2
124,2
125,0
126,2
127,3
128,3
129,2
765,2
414,3
415,2
416,3
417,0
410,0
411,1
412,3
413,3
498,2
418,3
419,3
776,1
499,3
319,2
318,1
313,3
312,3
311,3
310,1
317,3
316,1
315,0
314,0
496,1
497,3
3,1
725,2
368,0
369,2
366,3
367,1
364,3
365,1
362,1
363,3
360,0
361,2
380,0
381,3
382,3
383,1
384,3
385,2
386,2
387,1
388,1
389,2
784,3
785,0
