question,truth
36618,0
11619,1
36620,0
36621,0
36622,0
36623,0
36624,0
36696,0
36627,0
36697,0
36632,0
36633,0
36636,0
36638,0
36640,0
36641,0
36643,0
36644,0
36645,0
11697,1
11655,1
36652,0
36701,0
36656,0
36657,0
11573,1
11574,1
11575,1
36664,0
36665,0
36666,0
11579,1
11580,1
11583,1
36673,0
36674,0
36931,0
36932,0
36933,0
36934,0
36935,0
36936,0
36937,0
11594,1
36939,0
36940,0
36941,0
36942,0
36943,0
11600,1
11601,1
11602,1
36947,0
36948,0
36949,0
11577,1
36952,0
36953,0
11612,1
11578,1
12382,0
36959,0
36960,0
36961,0
36962,0
36963,0
36964,0
11588,1
11626,1
11628,1
11629,1
11630,1
11637,1
11641,1
11642,1
11644,1
11645,1
11646,1
11653,1
11585,1
11656,1
11657,1
11658,1
14988,0
11661,1
11663,1
11615,1
36675,0
11673,1
11672,1
36676,0
11680,1
36678,0
36679,0
11692,1
11693,1
11694,1
11696,1
36680,0
11705,1
36683,0
11596,1
11617,1
11685,1
11618,1
36691,0
11604,1
36693,0
