question,worker,answer
1,A1AVJRFM6L0RN8,25
1,ADAGUJNWMEPT6,80
1,A1LY3NJTYW9TFF,5
1,A14WWG6NKBDWGP,30
1,A1VYRD3HO2WDUN,20
1,A1XUURRBT9RYFW,10
1,A1M0SEWUJYX9K0,60
1,A2KBTYNGUFRB9N,80
1,A3POYFULMTNW1H,25
1,ARQ4J4TLTPBNC,100
2,A1AVJRFM6L0RN8,0
2,ADAGUJNWMEPT6,5
2,A1LY3NJTYW9TFF,0
2,A14WWG6NKBDWGP,50
2,A1VYRD3HO2WDUN,0
2,A1XUURRBT9RYFW,10
2,A1M0SEWUJYX9K0,75
2,A2KBTYNGUFRB9N,50
2,A3POYFULMTNW1H,0
2,ARQ4J4TLTPBNC,100
3,A1AVJRFM6L0RN8,0
3,ADAGUJNWMEPT6,0
3,A1LY3NJTYW9TFF,0
3,A14WWG6NKBDWGP,0
3,A1VYRD3HO2WDUN,0
3,A1XUURRBT9RYFW,0
3,A1M0SEWUJYX9K0,0
3,A2KBTYNGUFRB9N,0
3,A3POYFULMTNW1H,0
3,ARQ4J4TLTPBNC,0
4,A1AVJRFM6L0RN8,0
4,ADAGUJNWMEPT6,0
4,A1LY3NJTYW9TFF,10
4,A14WWG6NKBDWGP,0
4,A1VYRD3HO2WDUN,0
4,A1XUURRBT9RYFW,0
4,A1M0SEWUJYX9K0,0
4,A2KBTYNGUFRB9N,0
4,A3POYFULMTNW1H,0
4,ARQ4J4TLTPBNC,0
5,A1AVJRFM6L0RN8,0
5,ADAGUJNWMEPT6,0
5,A1LY3NJTYW9TFF,40
5,A14WWG6NKBDWGP,50
5,A1VYRD3HO2WDUN,0
5,A1XUURRBT9RYFW,0
5,A1M0SEWUJYX9K0,25
5,A2KBTYNGUFRB9N,20
5,A3POYFULMTNW1H,0
5,ARQ4J4TLTPBNC,0
6,A1AVJRFM6L0RN8,75
6,ADAGUJNWMEPT6,50
6,A1LY3NJTYW9TFF,20
6,A14WWG6NKBDWGP,40
6,A1VYRD3HO2WDUN,0
6,A1XUURRBT9RYFW,5
6,A1M0SEWUJYX9K0,80
6,A2KBTYNGUFRB9N,90
6,A3POYFULMTNW1H,95
6,ARQ4J4TLTPBNC,100
7,A1AVJRFM6L0RN8,0
7,ADAGUJNWMEPT6,0
7,A1LY3NJTYW9TFF,0
7,A14WWG6NKBDWGP,0
7,A1VYRD3HO2WDUN,0
7,A1XUURRBT9RYFW,0
7,A1M0SEWUJYX9K0,0
7,A2KBTYNGUFRB9N,0
7,A3POYFULMTNW1H,0
7,ARQ4J4TLTPBNC,0
8,A1AVJRFM6L0RN8,0
8,ADAGUJNWMEPT6,5
8,A1LY3NJTYW9TFF,0
8,A14WWG6NKBDWGP,20
8,A1VYRD3HO2WDUN,0
8,A1XUURRBT9RYFW,0
8,A1M0SEWUJYX9K0,0
8,A2KBTYNGUFRB9N,0
8,A3POYFULMTNW1H,0
8,ARQ4J4TLTPBNC,0
9,A1AVJRFM6L0RN8,0
9,ADAGUJNWMEPT6,0
9,A1LY3NJTYW9TFF,30
9,A14WWG6NKBDWGP,10
9,A1VYRD3HO2WDUN,0
9,A1XUURRBT9RYFW,0
9,A1M0SEWUJYX9K0,0
9,A2KBTYNGUFRB9N,0
9,A3POYFULMTNW1H,35
9,ARQ4J4TLTPBNC,0
10,A1AVJRFM6L0RN8,0
10,ADAGUJNWMEPT6,0
10,A1LY3NJTYW9TFF,0
10,A14WWG6NKBDWGP,0
10,A1VYRD3HO2WDUN,0
10,A1XUURRBT9RYFW,0
10,A1M0SEWUJYX9K0,0
10,A2KBTYNGUFRB9N,0
10,A3POYFULMTNW1H,0
10,ARQ4J4TLTPBNC,0
