question,worker,answer
81991168,A2N7I0331X72Z7,0
81991168,A4T1X0PO5N1G9,0
81991168,A1R0689JPSQ3OF,0
81991168,A3F7TD3W9043EO,1
81991168,A1IWCAELIKUG2S,0
81991168,A1K5FQWAV30V23,0
81991168,A3CJT6C1XWL7WQ,0
81991168,A3J2UG22S8BIW4,0
81991168,A1X2U32G8UXG1T,0
81991168,A2VZ8PX50FB2IG,0
81991168,A18TCR555RWUZV,0
81991168,A510NKLV727GZ,2
81991168,A1HGC1W5EWXUYS,0
81991168,A2QLSHXNCHBRN4,0
81991168,A1UT5N655D2OHX,0
81991168,AEL1MCZLN6W8Y,1
81991168,A49XY0E6KFP15,2
81991168,AOAZMLP27GD81,0
81991168,A1AVXGO6VIGH7D,1
81991168,A2N4DD7IS7EI2D,2
80052225,A3J2UG22S8BIW4,3
80052225,A2QLSHXNCHBRN4,3
80052225,AU5Y7J1PF0UIT,3
80052225,A1R0689JPSQ3OF,2
80052225,A18TCR555RWUZV,3
80052225,AJPQEZBVJXVE9,3
80052225,A33G1859PJ4KDO,3
80052225,A1E1XXSCJHEA3T,3
80052225,A2Q5O64TC9HI8V,2
80052225,A3F7TD3W9043EO,3
80052225,A1AVXGO6VIGH7D,2
80052225,A49XY0E6KFP15,2
80052225,A3F0NFNLOLFJT0,2
80052225,A1TM1ZFU4OIPTD,3
80052225,A2VZ8PX50FB2IG,3
80052225,A1PPX9MVJFMNJ5,2
80052225,A1E3JQKS4PASBU,2
80052225,AFJ9I4LSV49SB,2
80052225,A1K5FQWAV30V23,4
80052225,A510NKLV727GZ,2
81991664,A14PFRHG0A2YY9,1
81991664,A14KDXENR3YF9,0
81991664,A1TM1ZFU4OIPTD,0
81991664,A18TCR555RWUZV,0
81991664,A2KFBIPESKBKWK,0
81991664,AOAZMLP27GD81,0
81991664,A1PPX9MVJFMNJ5,1
81991664,A2QVMCGDLTWV9,4
81991664,A2N7I0331X72Z7,0
81991664,A1QKX5CZJQONP,1
81991664,AHGJTOTIPCL8X,4
81991664,A109CH3492UU42,0
81991664,A1G9HRCWBX9F31,0
81991664,A3F0NFNLOLFJT0,0
81991664,A2VZ8PX50FB2IG,0
81991664,A80VSGAD9H8VE,0
81991664,A4T1X0PO5N1G9,0
81991664,AMCBA6BNEVO01,0
81991664,A3J2UG22S8BIW4,4
81991664,A510NKLV727GZ,2
80056235,AJPQEZBVJXVE9,2
80056235,ANMWPCK7TJMZ8,2
80056235,A2QVMCGDLTWV9,2
80056235,A510NKLV727GZ,2
80056235,A20ALQT1HIVSAH,2
80056235,A2QLSHXNCHBRN4,2
80056235,AWN1PEZWRQSQ9,2
80056235,A3F7TD3W9043EO,2
80056235,AHGJTOTIPCL8X,2
80056235,A2Q5O64TC9HI8V,2
80056235,A2N7I0331X72Z7,2
80056235,A14KDXENR3YF9,2
80056235,AOAZMLP27GD81,2
80056235,A4T1X0PO5N1G9,2
80056235,A342WOUTH0TSUI,2
80056235,A1IWCAELIKUG2S,2
80056235,ANNX4OXTA2JWW,2
