question,worker,answer
139,ARPJ3NYNHTA31,0
93,A2OY54JKHARPKS,0
382,A2NCIFVGIZESDF,0
268,ARQ4J4TLTPBNC,0
441,A3MZF0DGGS6VEY,0
695,A15MN5MDG4D7Q9,-50
161,A15L6WGIK3VU7N,35
41,ARPJ3NYNHTA31,0
474,A2LRADB3KFT2AO,50
59,AHFO0JTF5WO8J,0
207,A1XUURRBT9RYFW,0
183,A2OY54JKHARPKS,31
622,ARQ4J4TLTPBNC,0
439,A3HA3UOKO2HTOK,0
596,A2NCIFVGIZESDF,30
616,A2KBTYNGUFRB9N,-100
437,A15L6WGIK3VU7N,0
677,A8ERQT8X2HQPK,10
249,A389Z7A60D4L8I,0
620,A15L6WGIK3VU7N,-30
419,ARQ4J4TLTPBNC,0
355,A389Z7A60D4L8I,0
298,A3POYFULMTNW1H,0
159,AHFO0JTF5WO8J,0
233,AHFO0JTF5WO8J,0
357,A1P7VNMICQDNJY,0
312,A1AVJRFM6L0RN8,0
625,A15L6WGIK3VU7N,-40
652,ARQ4J4TLTPBNC,0
352,A389Z7A60D4L8I,0
325,A1XUURRBT9RYFW,0
611,ARQ4J4TLTPBNC,0
311,A1AVJRFM6L0RN8,0
661,ALHOGP0VKKGM3,0
587,A1Q5GERIWS0YJR,0
609,A1LY3NJTYW9TFF,-40
142,A3BD4NONKGONRM,0
474,ARQ4J4TLTPBNC,0
142,ARQ4J4TLTPBNC,0
481,A1757CYJKBGLV2,10
424,A1XUURRBT9RYFW,0
223,ARQ4J4TLTPBNC,0
102,A3POYFULMTNW1H,0
532,A1XUMT8PKEPRR1,0
344,A3MZF0DGGS6VEY,0
429,A2OY54JKHARPKS,0
39,A15L6WGIK3VU7N,0
409,A2KBTYNGUFRB9N,30
657,ARQ4J4TLTPBNC,0
164,AMJY7CKRBEI2A,0
391,A2OY54JKHARPKS,0
150,A15L6WGIK3VU7N,0
498,A2NCIFVGIZESDF,0
538,A1XUMT8PKEPRR1,50
69,ALHOGP0VKKGM3,86
138,A3POYFULMTNW1H,0
472,AZ209ZYWRSIUG,0
565,A1DCEOFAUIDY58,10
311,A2KBTYNGUFRB9N,5
387,A2NCIFVGIZESDF,30
244,ARPJ3NYNHTA31,0
336,A3EKIOVCNYJ9BJ,10
569,ARQ4J4TLTPBNC,0
300,A1VYRD3HO2WDUN,70
287,A1757CYJKBGLV2,0
596,AS51Z6DBWM9JM,20
554,A15L6WGIK3VU7N,0
464,A8ERQT8X2HQPK,0
694,A1Q5GERIWS0YJR,40
658,A3MZF0DGGS6VEY,-25
465,AZ209ZYWRSIUG,0
547,A1P7VNMICQDNJY,15
431,AHFO0JTF5WO8J,70
80,A2NCIFVGIZESDF,20
35,ARQ4J4TLTPBNC,100
578,A1DCEOFAUIDY58,84
114,A1AVJRFM6L0RN8,0
